pair,total_count,len_3_count,len_4_count,len_5_count,len_6_count,len_7_count,len_8_count,len_9_count,len_10_plus_count
"(t,a)",996,7,34,96,121,144,145,122,327
"(t,b)",25,4,6,2,4,3,0,3,3
"(t,c)",695,2,4,15,29,49,77,85,434
"(t,d)",1215,5,20,47,132,188,221,199,403
"(t,e)",2911,7,53,117,243,320,437,459,1275
"(t,f)",71,2,7,4,4,7,10,8,29
"(t,g)",775,7,16,12,47,114,135,125,319
"(t,h)",357,3,12,26,46,55,61,52,102
"(t,i)",236,8,18,39,51,36,34,21,29
"(t,j)",1,1,0,0,0,0,0,0,0
"(t,k)",201,3,21,33,14,32,37,28,33
"(t,l)",1000,4,14,41,104,130,113,115,479
"(t,m)",559,6,12,13,26,69,93,96,244
"(t,n)",1434,7,25,48,164,197,208,169,616
"(t,o)",244,5,25,36,54,45,37,21,21
"(t,p)",141,8,16,13,17,13,17,16,41
"(t,q)",1,0,0,1,0,0,0,0,0
"(t,r)",1214,8,20,65,181,188,176,153,423
"(t,s)",3932,7,51,199,311,506,635,708,1515
"(t,t)",979,11,32,60,135,140,136,149,316
"(t,u)",73,3,17,12,5,19,11,2,4
"(t,v)",5,2,1,2,0,0,0,0,0
"(t,w)",35,3,5,4,4,3,5,4,7
"(t,x)",50,4,1,2,10,10,8,5,10
"(t,y)",1636,6,21,89,139,176,181,194,830
"(t,z)",14,1,0,5,4,1,0,2,1
"(u,a)",168,7,14,19,20,19,28,17,44
"(u,b)",32,2,0,3,12,5,4,3,3
"(u,c)",467,2,3,6,11,23,42,62,318
"(u,d)",5487,1,2,31,104,274,882,1015,3178
"(u,e)",3562,6,8,34,159,209,222,327,2597
"(u,f)",37,1,0,0,11,6,1,4,14
"(u,g)",1989,1,1,12,29,31,123,366,1426
"(u,h)",213,2,3,2,24,41,38,32,71
"(u,i)",38,6,5,9,6,6,2,2,2
"(u,j)",0,0,0,0,0,0,0,0,0
"(u,k)",131,0,0,9,48,39,3,20,12
"(u,l)",1010,2,7,13,69,76,76,134,633
"(u,m)",201,1,4,9,22,22,27,32,84
"(u,n)",695,2,5,31,62,70,116,84,325
"(u,o)",38,4,11,5,6,7,3,0,2
"(u,p)",104,2,0,12,33,14,8,14,21
"(u,q)",1,0,0,1,0,0,0,0,0
"(u,r)",542,0,4,21,28,51,116,88,234
"(u,s)",3192,7,14,24,83,182,177,248,2457
